angle,outlineId,file,species,specimenId,mimicType,ptype,state,source,camera,rating,ftype,url,imageabletype,imageableid,created_at,updated_at,photoDescription,id,kingdom,phylum,class,order,family,genus,taxonRank,scientificName,scientificNameAuthorship,vernacularName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,locationRemarks,time,day,month,year,recordedBy,siteId,description,individualCount,bodylength,sex,lifeStage,form,notes,idconfidence,other,ref,disposition,numphotos,Unique.ID,Unique.qualifier,Species,Ant.mimic.,Potential.Source.for.image,Image.found,Aspect,Sex,Notes,Done.,File,File.exists.,Adjustments..angle.adjustments..interpolation.,Notes.1
Dorsal,MCZ16734-,../data/MCZ16734_dorsal.jpg,Aetius nocturnus,MCZ16734,mimic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCZ16734,,Aetius nocturnus,Yes,Michael's images,Aetius_sp_dorsal_X50_photoshop2,Dorsal,Male,Photo,Yes,MCZ16734_dorsal.jpg,,,Specimen stored in ethanol; some deformation of opisthosoma
Lateral,MCZ16734-,../data/MCZ16734_lateral_angle_adjust.jpg,Aetius nocturnus,MCZ16734,mimic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCZ16734,,Aetius nocturnus,Yes,Michael's images,Aetius_sp_lateral_X50_photoshop3,Lateral,Male,Photo,Yes,MCZ16734_lateral_angle_adjust.jpg,,Angle adjusted,Specimen stored in ethanol; some deformation of opisthosoma
Dorsal,1119,../data/outline1cb04f2f77d6.JPG,Alydid2 sp1,446,non-mimic,Outline,Alive,Photo 792,Canon EOS 7D,NA,photo,http://localhost/images/photos/4/1119.JPG,Specimen,446,2017-03-24 05:02:44 UTC,2017-08-20 07:29:15 UTC,strict,446,Animalia,Arthropoda,Insecta,Hemiptera,Alydidae,Alydid2,Species,Alydid2 sp1,,,-15.77431111,144.3817139,500,385.2657343,"Qld, Quinkan Bush Blitz site B7",13:09,8,3,2017,Ryan Shofner,115,Ant-mimic bug,1,11.4,,5th instar,,,,,BBQKN17 L6 Hsweep,Shofner collection,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dorsal,1120,../data/outline1cb07ec3bc7.JPG,Alydid2 sp1,446,non-mimic,Outline,Alive,Photo 794,Canon EOS 7D,NA,photo,http://localhost/images/photos/4/1120.JPG,Specimen,446,2017-03-24 05:06:50 UTC,2017-08-20 07:29:23 UTC,strict,446,Animalia,Arthropoda,Insecta,Hemiptera,Alydidae,Alydid2,Species,Alydid2 sp1,,,-15.77431111,144.3817139,500,385.2657343,"Qld, Quinkan Bush Blitz site B7",13:09,8,3,2017,Ryan Shofner,115,Ant-mimic bug,1,11.4,,5th instar,,,,,BBQKN17 L6 Hsweep,Shofner collection,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lateral,1121,../data/outline1cb064961976.JPG,Alydid2 sp1,446,non-mimic,Outline,Alive,Photo 793,Canon EOS 7D,NA,photo,http://localhost/images/photos/4/1121.JPG,Specimen,446,2017-03-24 05:12:32 UTC,2017-08-20 07:29:29 UTC,strict,446,Animalia,Arthropoda,Insecta,Hemiptera,Alydidae,Alydid2,Species,Alydid2 sp1,,,-15.77431111,144.3817139,500,385.2657343,"Qld, Quinkan Bush Blitz site B7",13:09,8,3,2017,Ryan Shofner,115,Ant-mimic bug,1,11.4,,5th instar,,,,,BBQKN17 L6 Hsweep,Shofner collection,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lateral,1122,../data/outline1cb01427efc.JPG,Alydid2 sp1,446,non-mimic,Outline,Alive,Photo 795,Canon EOS 7D,NA,photo,http://localhost/images/photos/4/1122.JPG,Specimen,446,2017-03-24 05:16:57 UTC,2017-08-20 07:29:35 UTC,strict,446,Animalia,Arthropoda,Insecta,Hemiptera,Alydidae,Alydid2,Species,Alydid2 sp1,,,-15.77431111,144.3817139,500,385.2657343,"Qld, Quinkan Bush Blitz site B7",13:09,8,3,2017,Ryan Shofner,115,Ant-mimic bug,1,11.4,,5th instar,,,,,BBQKN17 L6 Hsweep,Shofner collection,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dorsal,1127,../data/outline1cb013d45bf6.JPG,Alydid3 sp1,444,mimic,Outline,Alive,Photo 786,Canon EOS 7D,NA,photo,http://localhost/images/photos/4/1127.JPG,Specimen,444,2017-03-24 05:50:24 UTC,2017-03-24 05:50:27 UTC,strict,444,Animalia,Arthropoda,Insecta,Hemiptera,Alydidae,Alydid3,Species,Alydid3 sp1,,,-15.77431111,144.3817139,500,385.2657343,"Qld, Quinkan Bush Blitz site B7",13:09,8,3,2017,Ryan Shofner,115,Ant-mimic bug,1,13.6,,5th instar,,,,Ant mimic bug,BBQKN17 L6 Sweep,Shofner collection,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dorsal,1129,../data/outline1cb0b322c87.JPG,Alydid3 sp1,444,mimic,Outline,Alive,Photo 787,Canon EOS 7D,NA,photo,http://localhost/images/photos/4/1129.JPG,Specimen,444,2017-03-24 05:57:57 UTC,2017-08-20 07:28:43 UTC,strict,444,Animalia,Arthropoda,Insecta,Hemiptera,Alydidae,Alydid3,Species,Alydid3 sp1,,,-15.77431111,144.3817139,500,385.2657343,"Qld, Quinkan Bush Blitz site B7",13:09,8,3,2017,Ryan Shofner,115,Ant-mimic bug,1,13.6,,5th instar,,,,Ant mimic bug,BBQKN17 L6 Sweep,Shofner collection,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lateral,1123,../data/outline1cb03fe49a9.JPG,Alydid3 sp1,444,mimic,Outline,Alive,Photo 784,Canon EOS 7D,NA,photo,http://localhost/images/photos/4/1123.JPG,Specimen,444,2017-03-24 05:27:51 UTC,2017-03-24 05:41:51 UTC,strict,444,Animalia,Arthropoda,Insecta,Hemiptera,Alydidae,Alydid3,Species,Alydid3 sp1,,,-15.77431111,144.3817139,500,385.2657343,"Qld, Quinkan Bush Blitz site B7",13:09,8,3,2017,Ryan Shofner,115,Ant-mimic bug,1,13.6,,5th instar,,,,Ant mimic bug,BBQKN17 L6 Sweep,Shofner collection,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lateral,1125,../data/outline1cb05f922604.JPG,Alydid3 sp1,444,mimic,Outline,Alive,Photo 785,Canon EOS 7D,NA,photo,http://localhost/images/photos/4/1125.JPG,Specimen,444,2017-03-24 05:42:12 UTC,2017-03-24 05:42:15 UTC,strict,444,Animalia,Arthropoda,Insecta,Hemiptera,Alydidae,Alydid3,Species,Alydid3 sp1,,,-15.77431111,144.3817139,500,385.2657343,"Qld, Quinkan Bush Blitz site B7",13:09,8,3,2017,Ryan Shofner,115,Ant-mimic bug,1,13.6,,5th instar,,,,Ant mimic bug,BBQKN17 L6 Sweep,Shofner collection,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
