"angle","species","specimenId","mimicType","imageabletype","imageableid","created_at","updated_at","id","kingdom","phylum","class","order","family","genus","taxonRank","scientificName","scientificNameAuthorship","vernacularName","description","individualCount","bodylength","sex","lifeStage","form","notes","idconfidence","other","ref","disposition","numphotos","Ant.mimic.","Sex","Notes","Done.","accuracy"
"Dorsal","Vespoidea2 sp1","1","mimic","Specimen",1,"2017-01-06 03:44:11 UTC","2017-01-06 03:44:12 UTC",1,"Animalia","Arthropoda","Insecta","Hymenoptera","","Vespoidea2","Species","Vespoidea2 sp1","","","Hymeoptera ?",1,3,"","","","","","Ant mimic","1-Jan","",3,NA,NA,NA,NA,0.779918656880952
"Dorsal","Myrmarachne luctuosa","12","mimic","Specimen",12,"2017-01-06 03:44:13 UTC","2017-01-06 03:44:14 UTC",12,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne luctuosa","(L. Koch, 1879)","","Ant mimic spider",1,6.7,"","","","About 2m up tree, no ants visible nearby, died in care, opisthosoma dessicated","1","Ant mimic","1-Dec","In collection",7,NA,NA,NA,NA,0.833827562396234
"Dorsal","Froggattella sp1","13","model","Specimen",13,"2017-01-06 03:44:14 UTC","2017-01-06 03:44:16 UTC",13,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Froggattella","Species","Froggattella sp1","","","Small red and black  ant",31,3.8,"","","","Abundant all around tree and on trunk","","","2-Jan","",3,NA,NA,NA,NA,0.888841659548546
"Dorsal","Cicadellid1 sp1","14","non-mimic","Specimen",14,"2017-08-21 12:51:13 UTC","2017-08-21 12:51:18 UTC",14,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Cicadellid1","Species","Cicadellid1 sp1","","","Plant hopper nymph?",1,2.5,"","","","","","","2-Feb","",3,NA,NA,NA,NA,0.0102351345368327
"Dorsal","Servaea incana","15","non-mimic","Specimen",15,"2017-01-06 03:44:18 UTC","2017-01-06 03:44:20 UTC",15,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Servaea","Species","Servaea incana","(L. Keyserling, 1878)","Hoary Servaea","Jumping spider",1,8.8,"","","","","","","2-Mar","",4,NA,NA,NA,NA,0.402748356524788
"Dorsal","Eurybrachyid1 sp1","16","non-mimic","Specimen",16,"2017-01-06 03:44:20 UTC","2017-01-06 03:44:21 UTC",16,"Animalia","Arthropoda","Insecta","Hemiptera","Eurybrachyidae","Eurybrachyid1","Species","Eurybrachyid1 sp1","","","Plant hopper nymph",1,8.4,"","","","Length is excluding weird growths","","","2-Apr","",3,NA,NA,NA,NA,0.301236142511272
"Dorsal","Servaea incana","17","non-mimic","Specimen",17,"2017-01-06 03:44:21 UTC","2017-01-06 03:44:23 UTC",17,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Servaea","Species","Servaea incana","(L. Keyserling, 1878)","Hoary Servaea","Jumping spider",1,8.2,"","","","","","","2-May","",3,NA,NA,NA,NA,0.363028306138549
"Dorsal","Formicid20 sp1","21","model","Specimen",21,"2017-05-31 14:49:49 UTC","2017-05-31 14:49:51 UTC",21,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Formicid20","Species","Formicid20 sp1","","","Small black ant",16,2.3,"","","","","","","3-Apr","",2,NA,NA,NA,NA,0.818419016063927
"Dorsal","Lycosid3 sp1","231","non-mimic","Specimen",231,"2017-06-03 14:26:41 UTC","2017-06-03 14:26:43 UTC",231,"Animalia","Arthropoda","Arachnida","Araneae","Lycosidae","Lycosid3","Species","Lycosid3 sp1","","","Small wolf spider",2,5.4,"","","","","","","42-3","",6,NA,NA,NA,NA,0.56761816088405
"Dorsal","Tamopsis fickerti","240","non-mimic","Specimen",240,"2017-06-03 14:48:56 UTC","2017-06-03 14:48:57 UTC",240,"Animalia","Arthropoda","Arachnida","Araneae","Hersiliidae","Tamopsis","Species","Tamopsis fickerti","(L. Koch, 1876)","","Tree trunk spider",1,6.7,"","","","","1","","44-4","",3,NA,NA,NA,NA,0.163094092360209
"Dorsal","Lycosid4 sp1","249","non-mimic","Specimen",249,"2017-06-03 15:55:54 UTC","2017-06-03 15:55:56 UTC",249,"Animalia","Arthropoda","Arachnida","Araneae","Lycosidae","Lycosid4","Species","Lycosid4 sp1","","","Long legged spider",1,3.2,"","","","Decomposed","Mariella","","47-1","In collection",2,NA,NA,NA,NA,0.641109352243801
"Dorsal","Araneae11 sp1","250","non-mimic","Specimen",250,"2017-06-04 13:30:25 UTC","2017-06-04 13:30:37 UTC",250,"Animalia","Arthropoda","Arachnida","Araneae","","Araneae11","Species","Araneae11 sp1","","","Small spider",1,3.2,"","","","","","","47-2","",3,NA,NA,NA,NA,0.62200834879875
"Dorsal","Lycosid4 sp1","258","non-mimic","Specimen",258,"2017-01-06 03:44:46 UTC","2017-01-06 04:00:11 UTC",258,"Animalia","Arthropoda","Arachnida","Araneae","Lycosidae","Lycosid4","Species","Lycosid4 sp1","","","Wolf spider, male",1,2.9,"","","","Maybe a mimic?","Mariella","","49-1","",3,NA,NA,NA,NA,0.641197114003313
"Dorsal","Oxyopes elegans","260","non-mimic","Specimen",260,"2017-01-06 03:44:48 UTC","2017-01-06 03:44:50 UTC",260,"Animalia","Arthropoda","Arachnida","Araneae","Oxyopidae","Oxyopes","Species","Oxyopes elegans","(L. Koch, 1878)","Elegant Lynx Spider","Lynx spider",1,6.9,"","","","","2","","49-3","",5,NA,NA,NA,NA,0.65662524691711
