family,class,species,forma,sex,angle,webUrl,isMimic,background,antennalIllusion,photographer
Sparassidae,Arachnida,Holconia sp,,,Dorsal,images/IMG_1990.jpg,FALSE,Natural,FALSE,Jim
Sparassidae,Arachnida,Holconia sp,,,Anterior,images/IMG_2003.jpg,FALSE,Natural,FALSE,Jim
Salticidae,Arachnida,Myrmarachne luctuosa,,,Dorsal,images/85.jpg,TRUE,Natural,FALSE,Jim
Formicidae,Insecta,Rhytidoponera metallica,,,Dorsal,images/149.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Dolichoderus scabridus,,,Lateral right side,images/487.jpg,FALSE,Natural,FALSE,Jim
Thomisidae,Arachnida,Amyciaea albomaculata,,,Posterior,images/524.jpg,TRUE,Natural,FALSE,Jim
Corinnidae,Arachnida,Poecilipta sp1,,,Dorsal,images/606.jpg,TRUE,Natural,FALSE,Jim
Alydidae,Insecta,Riptortus abdominalis,,,Dorsal,images/736.jpg,TRUE,Artificial,FALSE,Jim
Alydidae,Insecta,Alydid3 sp1,,,Lateral,images/784.jpg,TRUE,Artificial,FALSE,Jim
Alydidae,Insecta,Alydid3 sp1,,,Dorsal,images/786.jpg,TRUE,Artificial,FALSE,Jim
Formicidae,Insecta,Crematogaster sp1,,,Dorsal,images/1262.jpg,FALSE,Artificial,FALSE,Jim
Rhyparochromidae,Insecta,Daerlac nigricans,,,Dorsal,images/1773.jpg,TRUE,Artificial,FALSE,Jim
Chrysididae,Insecta,Chrysidid1 sp1,,,Lateral,images/1827.jpg,FALSE,Artificial,FALSE,Jim
Chrysididae,Insecta,Chrysidid1 sp1,,,Dorsal,images/1828.jpg,FALSE,Artificial,FALSE,Jim
Reduviidae,Insecta,Reduviid2 sp1,,,Dorsal,images/1951.jpg,FALSE,Artificial,FALSE,Jim
Lamponidae,Arachnida,Lamponid2 sp1,,,Lateral right side,images/2462.jpg,FALSE,Artificial,FALSE,Jim
Lamponidae,Arachnida,Lamponid2 sp1,,,Dorsal,images/2465.jpg,FALSE,Artificial,FALSE,Jim
Salticidae,Arachnida,Zenodorus metallescens,,,Dorsal,images/2712.jpg,FALSE,Artificial,FALSE,Jim
Salticidae,Arachnida,Ligonipes semitectus,,,Anterior,images/2806.jpg,TRUE,Artificial,FALSE,Jim
Reduviidae,Insecta,Reduviid3 sp1,,,Dorsal,images/2962.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Formicid14 sp1,,,Dorsal,images/3014.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Formicid14 sp1,,,Lateral right side,images/3015.jpg,FALSE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne macleayana,,,Lateral right side,images/3171.jpg,TRUE,Artificial,TRUE,Jim
Salticidae,Arachnida,Myrmarachne luctuosa,,,Dorsal,images/3243.jpg,TRUE,Artificial,FALSE,Jim
Lamponidae,Arachnida,Lamponid4 sp1,,,Dorsal,images/3451.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Crematogaster sp1,,,Lateral right side,images/3849.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Camponotus sp3,,,Dorsal,images/3857.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Camponotus sp3,,,Anterior,images/3858.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Camponotus sp3,,,Lateral,images/3859.jpg,FALSE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne sp1,,,Lateral right side,images/3973.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne striatipes,,,Anterior,images/3976.jpg,TRUE,Artificial,FALSE,Jim
Formicidae,Insecta,Opisthopsis sp2,,,Anterior,images/4201.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Polyrhachis sp14,,,Lateral,images/4512.jpg,FALSE,Artificial,FALSE,Jim
Thomisidae,Arachnida,Amyciaea albomaculata,,,Anterior,images/4592.jpg,TRUE,Artificial,FALSE,Jim
Corinnidae,Arachnida,Leichhardteus albofasciatus,,,Dorsal,images/GJA-5324.jpg,FALSE,Natural,FALSE,Greg Anderson
Salticidae,Arachnida,Myrmarachne sp 2,,,Anterior,images/GJA-4522.jpg,TRUE,Natural,TRUE,Greg Anderson
Salticidae,Arachnida,Myrmarachne erythrocephala,,,Lateral,images/146.jpg,TRUE,Natural,TRUE,Jim
Salticidae,Arachnida,Myrmarachne erythrocephala,,,Posterior,images/147.jpg,TRUE,Natural,TRUE,Jim
Salticidae,Arachnida,Myrmarachne erythrocephala,,,Dorsal,images/303.jpg,TRUE,Natural,TRUE,Jim
Salticidae,Arachnida,Damoetas nitidus,,,Lateral,images/1545.jpg,TRUE,Natural,FALSE,Jim
Salticidae,Arachnida,Damoetas nitidus,,,Dorsal,images/1547.jpg,TRUE,Natural,TRUE,Jim
Salticidae,Arachnida,Myrmarachne bicolor,,,Lateral,images/2609.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Ligonipes semitectus,,,Dorsal,images/2626.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Judalana lutea,,,Dorsal,images/2647.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Judalana lutea,,,Anterior,images/2651.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Ligonipes semitectus,,,Lateral,images/2751.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Judalana lutea,,,Lateral,images/3199.jpg,TRUE,Artificial,FALSE,Jim
Corinnidae,Arachnida,Castineira cingulata,,,Anterior,images/Z001.jpg,FALSE,Artificial,FALSE,Sankax
Corinnidae,Arachnida,Castineira cingulata,,,Dorsal,images/Z002.jpg,TRUE,Natural,FALSE,Tom Murray
Corinnidae,Arachnida,Corrinnomma sp.,,,Dorsal,images/Z003.jpg,TRUE,Natural,FALSE,Nicky Bay
Corinnidae,Arachnida,Corrinnomma sp.,,,Lateral,images/Z004.jpg,TRUE,Natural,TRUE,Nicky Bay
Corinnidae,Arachnida,Corrinnomma sp.,,,Anterior,images/Z005.jpg,TRUE,Natural,FALSE,Nicky Bay
Corinnidae,Arachnida,Myrmecotypus rettenmeyeri,,,Anterior,images/Z008.jpg,TRUE,Natural,TRUE,José Miguel Díaz Miranda
Corinnidae,Arachnida,Sphecotypus niger,,,Anterior,images/Z009.jpg,TRUE,Natural,TRUE,Alex Wild
Corinnidae,Arachnida,Sphecotypus niger,,,Dorsal,images/Z010.jpg,TRUE,Natural,FALSE,Alex Wild
Formicidae,Insecta,Pachycondyla villosa,,,Anterior,images/Z011.jpg,FALSE,Artificial,FALSE,Alex Wild
Salticidae,Arachnida,Neon nelli,,,Dorsal,images/Z012.jpg,FALSE,Natural,FALSE,Jay Barnes
Salticidae,Arachnida,Neon nelli,,,Lateral,images/Z013.jpg,FALSE,Natural,FALSE,Jay Barnes
Salticidae,Arachnida,Neon nelli,,,Anterior,images/Z014.jpg,FALSE,Natural,FALSE,Jay Barnes
Corinnidae,Arachnida,Nyssus avidus,,,Dorsal,images/Z015.jpg,FALSE,Natural,FALSE,Robert Whyte
Salticidae,Arachnida,Abracadabrella elegans,,,Posterior,images/Z016.jpg,FALSE,Natural,FALSE,Iain Macaulay
Salticidae,Arachnida,Abracadabrella elegans,,,Lateral,images/Z017.jpg,FALSE,Natural,FALSE,Iain Macaulay
Salticidae,Arachnida,Abracadabrella elegans,,,Dorsal,images/Z018.jpg,FALSE,Natural,FALSE,Iain Macaulay
Salticidae,Arachnida,Helpis minitabunda,,,Dorsal,images/Z019.jpg,FALSE,Natural,FALSE,Mark Helle
Salticidae,Arachnida,Myrmarachne macleayana,robsoni,Female,Lateral,images/943.jpg,TRUE,Natural,TRUE,Jim
