"class","family","species","angle","mimicType","webUrl","antennalIllusion","background","right","wrong","accuracy","decisionTimeMean","decisionTimeSD"
"Insecta","Formicidae","Crematogaster sp1","Dorsal","model","images/1262.jpg",FALSE,"Artificial",117,1,0.00847457627118644,2110.66101694915,1059.07750715405
"Insecta","Formicidae","Formicid1 sp1","Dorsal","model","images/1290.jpg",FALSE,"Artificial",59,0,0,1812.77966101695,595.739357142164
"Insecta","Formicidae","Formicid1 sp1","Lateral","model","images/1291.jpg",FALSE,"Artificial",58,0,0,1744.24137931034,450.306028897262
"Insecta","Formicidae","Formicid1 sp1","Dorsal","model","images/1294.jpg",FALSE,"Artificial",57,1,0.0172413793103448,1818.12068965517,707.034207901835
"Insecta","Formicidae","Rhytidoponera metallica","Dorsal","model","images/149.jpg",FALSE,"Artificial",114,5,0.0420168067226891,2127.11764705882,865.446433012902
"Arachnida","Gnaphosidae","Eilica sp1","Dorsal","non-mimic","images/1554.jpg",FALSE,"Artificial",57,0,0,1774.82456140351,591.34583556757
"Arachnida","Gnaphosidae","Eilica sp1","Lateral","non-mimic","images/1683.jpg",FALSE,"Artificial",59,0,0,1666.20338983051,393.645551211126
"Insecta","Rhyparochromidae","Daerlac nigricans","Dorsal","mimic","images/1773.jpg",FALSE,"Artificial",84,27,0.243243243243243,2396.21621621622,933.664991558491
"Insecta","Chrysididae","Chrysidid1 sp1","Lateral","non-mimic","images/1827.jpg",FALSE,"Artificial",121,3,0.0241935483870968,2118.43548387097,785.435917926907
"Insecta","Chrysididae","Chrysidid1 sp1","Dorsal","non-mimic","images/1828.jpg",FALSE,"Artificial",113,2,0.0173913043478261,1968.54782608696,759.169112328507
"Insecta","Formicidae","Formicid10 sp1","Dorsal","model","images/1886.jpg",FALSE,"Artificial",41,0,0,1792.21951219512,852.699698375551
"Insecta","Formicidae","Formicid10 sp1","Lateral","model","images/1888.jpg",FALSE,"Artificial",53,1,0.0185185185185185,1733,482.169116186192
"Insecta","Formicidae","Formicid10 sp1","Anterior","model","images/1890.jpg",FALSE,"Artificial",43,0,0,1758.02325581395,567.987151446399
"Insecta","Reduviidae","Reduviid2 sp1","Dorsal","non-mimic","images/1951.jpg",FALSE,"Artificial",116,2,0.0169491525423729,2268.12711864407,1127.9629058777
"Insecta","Coleoptera","Coleoptera2 sp1","Lateral","non-mimic","images/2125.jpg",FALSE,"Artificial",56,1,0.0175438596491228,2068.10526315789,655.074441904193
"Insecta","Formicidae","Camponotus nigriceps","Dorsal","model","images/246.jpg",FALSE,"Artificial",36,10,0.217391304347826,2539.41304347826,1222.12908167285
"Arachnida","Lamponidae","Lamponid2 sp1","Lateral","non-mimic","images/2462.jpg",FALSE,"Artificial",108,3,0.027027027027027,2154.86486486487,1011.6196598119
"Arachnida","Lamponidae","Lamponid2 sp1","Dorsal","non-mimic","images/2465.jpg",FALSE,"Artificial",112,1,0.00884955752212389,2009.30088495575,732.852388237658
"Arachnida","Salticidae","Myrmarachne bicolor","Lateral","mimic","images/2609.jpg",FALSE,"Artificial",37,43,0.5375,2641.7625,1213.0314807372
"Arachnida","Salticidae","Ligonipes semitectus","Dorsal","mimic","images/2626.jpg",FALSE,"Artificial",56,18,0.243243243243243,2326.21621621622,931.762070139084
"Arachnida","Salticidae","Judalana lutea","Dorsal","mimic","images/2647.jpg",FALSE,"Artificial",53,12,0.184615384615385,2451.07692307692,1045.94987194195
"Arachnida","Salticidae","Judalana lutea","Anterior","mimic","images/2651.jpg",FALSE,"Artificial",65,24,0.269662921348315,2244.79775280899,794.150735345273
"Arachnida","Salticidae","Zenodorus metallescens","Dorsal","non-mimic","images/2712.jpg",FALSE,"Artificial",130,0,0,1857.64615384615,620.302825039943
"Arachnida","Salticidae","Ligonipes semitectus","Lateral","mimic","images/2751.jpg",FALSE,"Artificial",47,31,0.397435897435897,2457.4358974359,1243.45564351767
"Arachnida","Salticidae","Ligonipes semitectus","Anterior","mimic","images/2806.jpg",FALSE,"Artificial",102,23,0.184,2456.384,1090.74940044936
"Insecta","Reduviidae","Reduviid3 sp1","Dorsal","non-mimic","images/2962.jpg",FALSE,"Artificial",112,16,0.125,2296.3203125,809.977018567672
"Insecta","Formicidae","Formicid14 sp1","Dorsal","model","images/3014.jpg",FALSE,"Artificial",106,2,0.0185185185185185,2345.49074074074,1121.35220021312
"Insecta","Formicidae","Formicid14 sp1","Lateral","model","images/3015.jpg",FALSE,"Artificial",114,3,0.0256410256410256,2331.51282051282,1023.82230589998
"Arachnida","Salticidae","Myrmarachne macleayana","Dorsal","mimic","images/3109.jpg",FALSE,"Artificial",65,19,0.226190476190476,2455.85714285714,1110.22756966957
"Arachnida","Salticidae","Myrmarachne macleayana","Lateral","mimic","images/3112.jpg",FALSE,"Artificial",38,49,0.563218390804598,2408.2183908046,951.746343787913
"Arachnida","Salticidae","Judalana lutea","Lateral","mimic","images/3199.jpg",FALSE,"Artificial",71,12,0.144578313253012,2368.90361445783,1008.17246654719
"Arachnida","Salticidae","Myrmarachne luctuosa","Dorsal","mimic","images/3243.jpg",FALSE,"Artificial",115,12,0.094488188976378,2081.04724409449,827.448975631785
"Insecta","Coleoptera","Coleoptera2 sp1","Dorsal","non-mimic","images/334.jpg",FALSE,"Artificial",43,6,0.122448979591837,2201.10204081633,718.976536615821
"Arachnida","Lamponidae","Lamponid4 sp1","Dorsal","non-mimic","images/3451.jpg",FALSE,"Artificial",133,0,0,1817.13533834586,536.992068418865
"Insecta","Formicidae","Crematogaster sp1","Lateral","model","images/3849.jpg",FALSE,"Artificial",127,2,0.0155038759689922,1987.35658914729,836.037190770109
"Insecta","Formicidae","Camponotus sp3","Dorsal","model","images/3857.jpg",FALSE,"Artificial",108,0,0,2013.05555555556,789.841837158463
"Insecta","Formicidae","Camponotus sp3","Anterior","model","images/3858.jpg",FALSE,"Artificial",116,3,0.0252100840336134,2287.8487394958,1102.06503882834
"Insecta","Formicidae","Camponotus sp3","Lateral","model","images/3859.jpg",FALSE,"Artificial",118,0,0,2055.76271186441,881.557098305079
"Arachnida","Salticidae","Myrmarachne sp1","Lateral","mimic","images/3973.jpg",FALSE,"Artificial",51,58,0.532110091743119,2342.62385321101,1155.48073840855
"Arachnida","Salticidae","Myrmarachne striatipes","Anterior","mimic","images/3976.jpg",FALSE,"Artificial",73,38,0.342342342342342,2376.67567567568,970.707222616228
"Arachnida","Salticidae","Myrmarachne smaragdina","Dorsal","mimic","images/4013.jpg",FALSE,"Artificial",55,29,0.345238095238095,2670.5,1146.9260803273
"Arachnida","Salticidae","Myrmarachne smaragdina","Lateral","mimic","images/4017.jpg",FALSE,"Artificial",39,53,0.576086956521739,2951.0652173913,1787.52951134847
"Arachnida","Salticidae","Myrmarachne smaragdina","Dorsal","mimic","images/4029.jpg",FALSE,"Artificial",37,33,0.471428571428571,2476.82857142857,1064.20590210278
"Arachnida","Salticidae","Myrmarachne smaragdina","Lateral","mimic","images/4030.jpg",FALSE,"Artificial",8,49,0.859649122807018,2383.57894736842,1274.00965666009
"Insecta","Formicidae","Formicid22 sp1","Dorsal","model","images/4083.jpg",FALSE,"Artificial",60,1,0.0163934426229508,1974.14754098361,889.294886151674
"Insecta","Formicidae","Formicid22 sp1","Lateral","model","images/4085.jpg",FALSE,"Artificial",46,1,0.0212765957446809,1830.40425531915,659.48644906718
"Arachnida","Salticidae","Myrmarachne helensmithae","Lateral","mimic","images/4199.jpg",FALSE,"Artificial",22,62,0.738095238095238,2151.54761904762,1046.82013512134
"Insecta","Formicidae","Opisthopsis sp2","Anterior","model","images/4201.jpg",FALSE,"Artificial",121,3,0.0241935483870968,2160.54838709677,831.281676257771
"Arachnida","Salticidae","Myrmarachne macleayana","Dorsal","mimic","images/4230.jpg",FALSE,"Artificial",36,43,0.544303797468354,2340.22784810127,1090.28524789554
"Insecta","Formicidae","Formicid28 sp1","Dorsal","model","images/4499.jpg",FALSE,"Artificial",45,6,0.117647058823529,2071.62745098039,717.868371243205
"Insecta","Formicidae","Formicid28 sp1","Lateral","model","images/4502.jpg",FALSE,"Artificial",48,3,0.0588235294117647,2303.21568627451,905.495495598415
"Insecta","Formicidae","Polyrhachis sp14","Lateral","model","images/4512.jpg",FALSE,"Artificial",123,4,0.031496062992126,2202.36220472441,970.537632623258
"Insecta","Formicidae","Formicid29 sp1","Dorsal","model","images/4522.jpg",FALSE,"Artificial",48,0,0,1892.25,679.087012254517
"Insecta","Formicidae","Formicid28 sp1","Lateral","model","images/4525.jpg",FALSE,"Artificial",46,0,0,1846.97826086957,658.188945824675
"Arachnida","Thomisidae","Amyciaea albomaculata","Anterior","mimic","images/4592.jpg",FALSE,"Artificial",103,10,0.0884955752212389,2356.53097345133,1095.10207507595
"Arachnida","Salticidae","Myrmarachne helensmithae","Dorsal","mimic","images/4755.jpg",FALSE,"Artificial",51,25,0.328947368421053,2424.27631578947,1269.80241611241
"Insecta","Alydidae","Riptortus abdominalis","Dorsal","mimic","images/736.jpg",FALSE,"Artificial",58,76,0.567164179104478,2469.58955223881,1228.15258421565
"Insecta","Alydidae","Alydid3 sp1","Lateral","mimic","images/784.jpg",FALSE,"Artificial",50,70,0.583333333333333,2639.46666666667,1216.40366705814
"Insecta","Alydidae","Alydid3 sp1","Dorsal","mimic","images/786.jpg",FALSE,"Artificial",99,24,0.195121951219512,2507.15447154472,1286.23533165668
"Insecta","Formicidae","Formicid sp.","Lateral","model","images/s16.jpg",FALSE,"Artificial",46,0,0,1770.52173913043,682.628147973549
"Insecta","Formicidae","Formicid sp.","Lateral","model","images/s18.jpg",FALSE,"Artificial",55,1,0.0178571428571429,2086.19642857143,787.893588099834
"Insecta","Formicidae","Formicid sp.","Dorsal","model","images/s19.jpg",FALSE,"Artificial",47,0,0,1938.97872340426,1020.67770515395
"Arachnida","Corinnidae","Castineira cingulata","Anterior","non-mimic","images/Z001.jpg",FALSE,"Artificial",71,0,0,1937.40845070423,648.584052873528
"Insecta","Formicidae","Pachycondyla villosa","Anterior","model","images/Z011.jpg",FALSE,"Artificial",70,2,0.0277777777777778,2295.11111111111,1117.99909994617
"Arachnida","Corinnidae","Nyssus paradoxus","Dorsal","non-mimic","images/Z035.jpg",FALSE,"Artificial",86,0,0,1850.51162790698,573.910891713955
"Arachnida","Salticidae","Myrmarachne macleayana","Anterior","mimic","images/3114.jpg",TRUE,"Artificial",58,27,0.317647058823529,2287.96470588235,992.048511283342
"Arachnida","Salticidae","Myrmarachne macleayana","Lateral","mimic","images/3171.jpg",TRUE,"Artificial",28,91,0.764705882352941,2307.09243697479,1092.80232206553
"Arachnida","Salticidae","Myrmarachne macleayana","Lateral","mimic","images/4233.jpg",TRUE,"Artificial",31,49,0.6125,2341.425,1125.05366144875
"Arachnida","Salticidae","Damoetas nitidus","Lateral","mimic","images/1545.jpg",FALSE,"Natural",86,3,0.0337078651685393,2124.7191011236,798.406765615749
"Arachnida","Salticidae","Rhombonotus gracilis","Dorsal","mimic","images/1632.jpg",FALSE,"Natural",34,26,0.433333333333333,2480.03333333333,1084.03796241405
"Arachnida","Salticidae","Rhombonotus gracilis","Lateral","mimic","images/1635.jpg",FALSE,"Natural",24,32,0.571428571428571,2636.76785714286,1149.74692853485
