Sample Identification,,,,Thin Legs,,,,Elongated Prosoma,,,,Elongated Opisthosoma,,,,Elongated Pedicel,,,Improved colouration,,Degree of Lateral Prosomal Constriction,,,,Degree of Dorsal Prosomal Constriction,,,,Degree of Lateral Opisthosomal Constriction,,,,Degree of Dorsal Opisthosomal Constriction,,,,,,,,,,
Unique I.D.,Family,Genus,Species,Leg III Femur: width,Leg III Femur: length,Leg III Femur: ratio (width/length),1 - Leg III Femur ratio,Prosoma: width,Prosoma: length,Prosoma: ratio (width/length),1 - Prosoma ratio,Opisthosoma: width,Opisthosoma: length,Opisthosoma: ratio (width/length),1 - Opisthosoma ratio,Pedicel: length,Body length,Pedicel length/body length,Note on improved colouration,Improved colour score,Constriction height,Prosoma height,Constriction height/Prosoma height: ratio,1 - Constriction height/Prosoma height: ratio,Constriction width,Prosoma width,Constriction width/Prosoma width: ratio,1 - Constriction width/Prosoma width: ratio,Constriction height,Opisthosoma height,Constriction height/Opisthosoma height: ratio,1 - Constriction height/Opisthosoma height: ratio,Constriction width,Opisthosoma width,Constriction width/Opisthosoma width: ratio,1 - Constriction width/Opisthosoma width: ratio,Mimic Accuracy,,Faux-petiole length,Length from constriction to spinnerets,Pedicel anterior to spinnerets,mimicType,Final note
MCZ16734,Corinnidae,Aetius,nocturnus,0.44,2.03,0.22,0.78,2.19,3.7,0.59,0.41,1.79,3.71,0.48,0.52,0.24,7.66,0.03,Pale bands on opisthosoma,0.33,0.75,1.06,0.71,0.29,N/A,2.19,N/A,0,1.1,1.15,0.96,0.04,1.46,1.79,0.82,0.18,0.29,,,,,mimic,Photos only (Measurements are taken from the male; except leg III from female)
Q00002,Corinnidae,Battalus,byrneae,0.6,2.43,0.25,0.75,2.36,3.46,0.68,0.32,3.64,5.07,0.72,0.28,0,8.5,0,-,0,N/A,1.05,N/A,0,N/A,2.36,N/A,0,N/A,2.99,N/A,0,N/A,3.64,N/A,0,0.15,,,,,mimic,Measurements taken from female as all images provided in (Raven 2015) are of the female
MCZ136939,Corinnidae,Castianeira,cingulata,0.4,1.34,0.3,0.7,1.74,2.89,0.6,0.4,1.67,2.92,0.57,0.43,0,6.15,0,Pale bands on opisthosoma,0.33,N/A,0.91,N/A,0,N/A,1.74,N/A,0,N/A,1.49,N/A,0,N/A,1.67,N/A,0,0.21,,,,,mimic,Photos only
MCZ137106,Corinnidae,Castianeira,gertschi,0.52,1.56,0.34,0.66,2,2.97,0.67,0.33,2.6,3.32,0.78,0.22,0,6.63,0,Two bands of white stripes on opisthososma,0.33,N/A,0.78,N/A,0,N/A,2,N/A,0,N/A,1.68,N/A,0,N/A,2.6,N/A,0,0.17,,,,,mimic,Photos only (petiole is not obvious in live specimens - Google images)
MCZ126957,Corinnidae,Castianeira,longipalpa,0.37,0.95,0.39,0.61,1.53,2.47,0.62,0.38,2.07,3.59,0.58,0.42,0,6.28,0,Pale bands on opisthosoma,0.33,N/A,0.58,N/A,0,N/A,1.53,N/A,0,N/A,1.89,N/A,0,N/A,2.07,N/A,0,0.19,,,,,mimic,Photos only (petiole is not obvious in live specimens - Google images)
MCZ142573,Corinnidae,Castianeira,trilineata,0.33,1.27,0.26,0.74,1.55,2.58,0.6,0.4,2,3.17,0.63,0.37,0,5.94,0,Pale bands on opisthosoma,0.33,N/A,0.68,N/A,0,N/A,1.55,N/A,0,1.17,1.2,0.97,0.03,N/A,2,N/A,0,0.21,,,,,mimic,Photos only
Q00013,Corinnidae,Copa,kabana,0.49,1.71,0.29,0.71,2.55,3.44,0.74,0.26,1.63,3.03,0.54,0.46,0,6.5,0,-,0,N/A,0.86,N/A,0,N/A,2.55,N/A,0,N/A,1.09,N/A,0,N/A,1.63,N/A,0,0.16,,,,,mimic,Raven 2015. Measurements taken from male description and photo.
MCZ95991,Corinnidae,Corinnomma,sp.,0.52,2.21,0.24,0.76,2.25,4.65,0.48,0.52,No data,No data,No data,No data,0,11.08,0,-,0,N/A,1.3,N/A,0,N/A,2.25,N/A,0,1.18,1.24,0.95,0.05,No data,No data,No data,No data,0.15,,,,,mimic,Photos only (may need to exclude as the specimens opisthosoma appears damaged)
Q87362,Corinnidae,Creugas,gulosus,0.61,2.78,0.22,0.78,2.84,3.72,0.76,0.24,3.21,4.68,0.69,0.31,0,8.4,0,-,0,N/A,No data,N/A,0,N/A,2.84,N/A,0,No data,No data,No data,No data,N/A,3.21,N/A,0,0.15,,,,,non-mimic,Measurements taken from female as all images provided in (Raven 2015) are of the female (no lateral images)
Q80326,Corinnidae,Disnyssus,helenmirrenae,No data,No data,No data,No data,1.96,2.52,0.78,0.22,1.76,2.52,0.7,0.3,0,5,0,-,0,N/A,0.52,N/A,0,N/A,1.96,N/A,0,No data,No data,No data,No data,N/A,1.76,N/A,0,0.06,,,,,mimic,Measurements taken from male (Raven 2015) (no lateral images of opisthosoma)
