"Family","Genus","species","mimicType","Leg.III.Femur..width","Leg.III.Femur..length","Prosoma..length","Opisthosoma..width","Opisthosoma.height","Opisthosoma..length","Pedicel..length","Body.length","Prosoma.height","Improved.colour.score","Constriction.height","Constriction.width","Constriction.height.1","Constriction.width.1","accuracy"
"Corinnidae","Aetius","Aetius nocturnus","mimic",0.200913242009132,0.926940639269406,1.68949771689498,0.817351598173516,0.525114155251142,1.69406392694064,0.10958904109589,3.49771689497717,0.484018264840183,0.33,0.342465753424658,0,0.502283105022831,0.666666666666667,0.395177512408941
"Salticidae","Apricia","Apricia jovialis","mimic",0.186666666666667,0.586666666666667,1.44666666666667,0.966666666666667,0.54,1.67333333333333,0,3.166,0.393333333333333,0,0,0,0,0,0.213130412451732
"Salticidae","Astia","Astia hariola","mimic",0.258241758241758,0.945054945054945,1.0989010989011,0.82967032967033,0.631868131868132,1.52747252747253,0,2.74725274725275,0.521978021978022,0,0,0,0,0,0.182496582662367
"Corinnidae","Battalus","Battalus byrneae","mimic",0.254237288135593,1.02966101694915,1.46610169491525,1.54237288135593,1.26694915254237,2.14830508474576,0,3.60169491525424,0.444915254237288,0,0,0,0,0,0.176444124912112
"Corinnidae","Castianeira","Castianeira cingulata","mimic",0.229885057471264,0.770114942528736,1.66091954022989,0.959770114942529,0.85632183908046,1.67816091954023,0,3.53448275862069,0.522988505747126,0.33,0,0,0,0,0.440202719492524
"Corinnidae","Castianeira","Castianeira gertschi","mimic",0.26,0.78,1.485,1.3,0.84,1.66,0,3.315,0.39,0.33,0,0,0,0,0.430724820918884
"Corinnidae","Castianeira","Castianeira longipalpa","mimic",0.241830065359477,0.620915032679739,1.61437908496732,1.35294117647059,1.23529411764706,2.34640522875817,0,4.10457516339869,0.379084967320261,0.33,0,0,0,0,0.440074557035136
"Corinnidae","Castianeira","Castianeira trilineata","mimic",0.212903225806452,0.819354838709677,1.66451612903226,1.29032258064516,0.774193548387097,2.04516129032258,0,3.83225806451613,0.438709677419355,0.33,0,0,0.754838709677419,0,0.25728816378409
"Corinnidae","Copa","Copa kabana","mimic",0.192156862745098,0.670588235294118,1.34901960784314,0.63921568627451,0.427450980392157,1.18823529411765,0,2.54901960784314,0.337254901960784,0,0,0,0,0,0.176288567421044
"Corinnidae","Corinnomma","Corinnomma sp.","mimic",0.231111111111111,0.982222222222222,2.06666666666667,NA,0.551111111111111,NA,0,4.92444444444444,0.577777777777778,0,0,0,0.524444444444444,NA,0
"Corinnidae","Creugas","Creugas gulosus","mimic",0.214788732394366,0.97887323943662,1.30985915492958,1.13028169014085,NA,1.64788732394366,0,2.95774647887324,NA,0,0,0,NA,0,0.153597786521297
"Salticidae","Damoetas","Damoetas nitidus","mimic",0.205128205128205,0.782051282051282,1.75641025641026,1.01282051282051,0.923076923076923,2.17948717948718,0.166666666666667,4.07692307692308,0.858974358974359,0.33,0,0,0.897435897435897,0,0.364801107654383
"Corinnidae","Disnyssus","Disnyssus helenmirrenae","mimic",NA,NA,1.28571428571429,0.897959183673469,NA,1.28571428571429,0,2.55102040816327,0.26530612244898,0,0,0,NA,0,0.144265787941294
"Salticidae","Helpis","Helpis minitabunda","mimic",0.202898550724638,1.01449275362319,1.53623188405797,0.748792270531401,0.526570048309179,1.80676328502415,0,3.43478260869565,0.63768115942029,0,0,0,0,0,0.211840450475541
"Corinnidae","Iridonyssus","Iridonyssus formicans","mimic",0.196078431372549,0.666666666666667,1.30392156862745,0.990196078431373,0.686274509803921,1.22549019607843,0,2.58823529411765,0.42156862745098,0,0,0,0,0,0.208382220010922
"Corinnidae","Iridonyssus","Iridonyssus kohouti","mimic",0.216319946601402,0.644676827233285,1.32133718989877,1.20925575703638,0.928023139392591,1.94532206029592,0.208032039158972,3.86578039826455,0.643341862276115,0,0,0,0.912504171765491,0,0.0801981581623231
"Salticidae","Judalana","Judalana lutea","mimic",0.184853591742153,0.769485991152307,1.73757109753529,1.3479039393301,1.13956182852328,2.78254687170845,0.0924267958710765,4.3175163261007,0.790393933010322,0,0.749315357067622,0,0,0,0.252175838052177
"Corinnidae","Leichhardteus","Leichhardteus albofasciatus","mimic",0.246808510638298,0.706382978723404,1.35744680851064,0.765957446808511,0.404255319148936,1.22553191489362,0.131914893617021,2.81276595744681,0.48936170212766,0,0,0,0,0,0.171866512406279
"Corinnidae","Leichhardteus","Leichhardteus conopalpis","mimic",0.166666666666667,0.448979591836735,1.42517006802721,0.77891156462585,0.374149659863946,1.54421768707483,0,2.97959183673469,0.343537414965986,0,0,0,0,0,0.200677656686531
"Corinnidae","Leptopicia","Leptopicia bimaculata","mimic",0.177142857142857,0.64,1.38285714285714,0.702857142857143,NA,1.24,0.194285714285714,2.74285714285714,0.451428571428571,0,0,0,NA,0,0.13537248604105
"Salticidae","Ligonipes","Ligonipes lacertosus","mimic",0.215201465201465,0.917582417582418,2.02747252747253,1.10989010989011,0.896520146520146,2.37087912087912,0.246336996336996,4.67857142857143,0.883699633699634,0.33,0.853479853479854,0,0.617216117216117,1.01465201465201,0.486029436475038
"Salticidae","Ligonipes","Ligonipes semitectus","mimic",0.17675983436853,0.718426501035197,1.72334368530021,1.13768115942029,0.921325051759834,2.39570393374741,0.262939958592132,4.33022774327122,0.725155279503106,0.33,0.594461697722567,0,0.7851966873706,0.835662525879917,0.450557508820921
"Corinnidae","Mazax","Mazax pax","mimic",0.184615384615385,0.815384615384615,1.78461538461538,1,0.9,1.92307692307692,0.376923076923077,3.99230769230769,0.692307692307692,0.33,0,0,0.784615384615385,0.9,0.372236348700304
"Corinnidae","Mazax","Mazax spinosa","mimic",0.211678832116788,0.861313868613139,1.78832116788321,1.42335766423358,1,2.13138686131387,0.343065693430657,4.27007299270073,0.525547445255474,0.33,0,0,0.970802919708029,0,0.21918051512608
"Salticidae","Myrmapana","Myrmapana centralis","mimic",0.148514851485149,0.633663366336634,1.89108910891089,0.98019801980198,0.603960396039604,1.83168316831683,0.0792079207920792,3.82178217821782,0.742574257425743,0.67,0.663366336633663,0.841584158415842,0.514851485148515,0.801980198019802,0.733506991569669
