"class","family","species","angle","mimicType","accuracy","numPhotos"
"Arachnida","Salticidae","Ligonipes semitectus","Lateral","mimic",0.97982120513916,1
"Arachnida","Salticidae","Myrmarachne striatipes","Anterior","mimic",0.974996328353882,1
"Arachnida","Salticidae","Ligonipes semitectus","Anterior","mimic",0.973451375961304,1
"Insecta","Formicidae","Dolichoderus clarki","Lateral","model",0.968915700912476,1
"Arachnida","Salticidae","Myrmarachne macleayana","Lateral","mimic",0.967271044850349,4
"Arachnida","Salticidae","Myrmarachne smaragdina","Lateral","mimic",0.96565118432045,2
"Arachnida","Salticidae","Myrmarachne helensmithae","Lateral","mimic",0.964471220970154,1
"Arachnida","Salticidae","Myrmarachne erythrocephala","Lateral","mimic",0.964272975921631,1
"Insecta","Rhyparochromidae","Daerlac nigricans","Dorsal","mimic",0.964256584644318,1
"Arachnida","Salticidae","Myrmarachne sp1","Lateral","mimic",0.96422666311264,1
"Insecta","Alydidae","Alydid3 sp1","Lateral","mimic",0.964201509952545,1
"Arachnida","Salticidae","Myrmarachne bicolor","Lateral","mimic",0.963938653469086,1
"Arachnida","Salticidae","Myrmarachne macaulayi","Posterior","mimic",0.963938653469086,1
"Insecta","Formicidae","Dolichoderus clarki","Dorsal","model",0.963828325271606,1
"Arachnida","Salticidae","Myrmarachne erythrocephala","Dorsal","mimic",0.96007114648819,1
"Arachnida","Thomisidae","Amyciaea albomaculata","Posterior","mimic",0.957741737365723,1
"Arachnida","Salticidae","Ligonipes semitectus","Dorsal","mimic",0.957412302494049,1
"Arachnida","Salticidae","Myrmarachne macleayana","Dorsal","mimic",0.952705264091492,2
"Arachnida","Corinnidae","Aetius nocturnus","Dorsal","mimic",0.939972460269928,1
"Arachnida","Corinnidae","Castineira cingulata","Dorsal","mimic",0.938659369945526,1
"Arachnida","Salticidae","Judalana lutea","Dorsal","mimic",0.929326474666595,1
"Arachnida","Salticidae","Myrmapana plataleoides","Dorsal","mimic",0.921821355819702,1
"Arachnida","Corinnidae","Corrinnomma sp.","Lateral","mimic",0.901710689067841,1
"Arachnida","Salticidae","Ligonipes lacertosus","Lateral","mimic",0.89440330862999,2
"Arachnida","Corinnidae","Sphecotypus niger","Anterior","mimic",0.887218594551086,1
"Arachnida","Salticidae","Myrmarachne erythrocephala","Posterior","mimic",0.877771198749542,1
"Arachnida","Salticidae","Rhombonotus gracilis","Dorsal","mimic",0.877771198749542,1
"Arachnida","Salticidae","Myrmarachne macleayana","Anterior","mimic",0.866806983947754,1
"Insecta","Alydidae","Riptortus abdominalis","Dorsal","mimic",0.861522078514099,1
"Arachnida","Salticidae","Judalana lutea","Anterior","mimic",0.845142841339111,1
"Arachnida","Corinnidae","Poecilipta sp1","Dorsal","mimic",0.829858601093292,1
"Arachnida","Salticidae","Myrmarachne helensmithae","Dorsal","mimic",0.807577610015869,1
"Insecta","Cicadellidae","Eurymela rubrolimbata (nymph)","Lateral","mimic",0.792540729045868,1
"Arachnida","Salticidae","Judalana lutea","Lateral","mimic",0.76257199048996,1
"Insecta","Alydidae","Alydid3 sp1","Dorsal","mimic",0.737434804439545,1
"Arachnida","Salticidae","Myrmarachne macaulayi","Lateral","mimic",0.630105793476105,1
"Arachnida","Salticidae","Myrmarachne luctuosa","Dorsal","mimic",0.4819141625,2
"Arachnida","Salticidae","Myrmarachne smaragdina","Dorsal","mimic",0.441093325614929,2
"Arachnida","Corinnidae","Corrinnomma sp.","Anterior","mimic",0,1
"Arachnida","Corinnidae","Corrinnomma sp.","Dorsal","mimic",0,1
"Arachnida","Corinnidae","Iridonyssus kohouti","Dorsal","mimic",0,1
"Arachnida","Corinnidae","Myrmecotypus rettenmeyeri","Anterior","mimic",0,1
"Arachnida","Corinnidae","Nyssus coloripes","Lateral","mimic",0,1
"Arachnida","Corinnidae","Nyssus luteofinis","Lateral","mimic",0,2
"Arachnida","Corinnidae","Sphecotypus niger","Dorsal","mimic",0,1
"Arachnida","Salticidae","Cosmophasis bitaeniata","Anterior","mimic",0,1
"Arachnida","Salticidae","Cosmophasis bitaeniata","Dorsal","mimic",0,1
"Arachnida","Salticidae","Cosmophasis bitaeniata","Lateral","mimic",0,1
"Arachnida","Salticidae","Damoetas nitidus","Dorsal","mimic",0,1
"Arachnida","Salticidae","Damoetas nitidus","Lateral","mimic",0,1
"Arachnida","Salticidae","Ligonipes lacertosus","Dorsal","mimic",0,1
"Arachnida","Salticidae","Myrmarachne macaulayi","Dorsal","mimic",0,1
"Arachnida","Salticidae","Myrmarachne sp 2","Anterior","mimic",0,1
"Arachnida","Salticidae","Rhombonotus gracilis","Lateral","mimic",0,1
"Arachnida","Thomisidae","Amyciaea albomaculata","Anterior","mimic",0,1
"Insecta","Cicadellidae","Eurymela rubrolimbata","Dorsal","non-mimic",0,1
"Insecta","Cicadellidae","Eurymela rubrolimbata","Lateral","non-mimic",0,1
"Insecta","Cicadellidae","Eurymela rubrolimbata (nymph)","Dorsal","mimic",0,1
"Insecta","Formicidae","Dolichoderus clarki","Anterior","model",0,1
