"class","family","species","isMimic","accuracy","numPhotos"
"Arachnida","Salticidae","Ligonipes semitectus",TRUE,0.968616753816605,2
"Insecta","Formicidae","Dolichoderus clarki",FALSE,0.966372013092041,2
"Insecta","Rhyparochromidae","Daerlac nigricans",TRUE,0.964256584644318,1
"Arachnida","Salticidae","Myrmarachne sp1",TRUE,0.96422666311264,1
"Arachnida","Salticidae","Myrmarachne bicolor",TRUE,0.963938653469086,1
"Arachnida","Salticidae","Myrmarachne macleayana",TRUE,0.962415784597397,6
"Arachnida","Salticidae","Myrmarachne erythrocephala",TRUE,0.96217206120491,2
"Arachnida","Corinnidae","Aetius nocturnus",TRUE,0.939972460269928,1
"Arachnida","Corinnidae","Castineira cingulata",TRUE,0.938659369945526,1
"Arachnida","Salticidae","Myrmapana plataleoides",TRUE,0.921821355819702,1
"Arachnida","Salticidae","Myrmarachne helensmithae",TRUE,0.886024415493011,2
"Insecta","Alydidae","Riptortus abdominalis",TRUE,0.861522078514099,1
"Insecta","Alydidae","Alydid3 sp1",TRUE,0.850818157196045,2
"Arachnida","Salticidae","Judalana lutea",TRUE,0.845949232578278,2
"Arachnida","Corinnidae","Poecilipta sp1",TRUE,0.829858601093292,1
"Arachnida","Salticidae","Myrmarachne smaragdina",TRUE,0.70337225496769,4
"Arachnida","Salticidae","Ligonipes lacertosus",TRUE,0.596268872419993,3
"Arachnida","Salticidae","Myrmarachne luctuosa",TRUE,0.4819141625,2
"Arachnida","Corinnidae","Corrinnomma sp.",TRUE,0.45085534453392,2
"Arachnida","Salticidae","Rhombonotus gracilis",TRUE,0.438885599374771,2
"Insecta","Cicadellidae","Eurymela rubrolimbata (nymph)",TRUE,0.396270364522934,2
"Arachnida","Salticidae","Myrmarachne macaulayi",TRUE,0.315052896738052,2
"Arachnida","Corinnidae","Iridonyssus kohouti",TRUE,0,1
"Arachnida","Corinnidae","Nyssus coloripes",TRUE,0,1
"Arachnida","Corinnidae","Nyssus luteofinis",TRUE,0,2
"Arachnida","Corinnidae","Sphecotypus niger",TRUE,0,1
"Arachnida","Salticidae","Cosmophasis bitaeniata",TRUE,0,2
"Arachnida","Salticidae","Damoetas nitidus",TRUE,0,2
"Insecta","Cicadellidae","Eurymela rubrolimbata",FALSE,0,2
