"angle","species","mimicType","imageabletype","imageableid","created_at","updated_at","id","kingdom","phylum","class","order","family","genus","taxonRank","scientificName","scientificNameAuthorship","vernacularName","bodylength","Ant.mimic.","accuracy"
"Dorsal","Aetius nocturnus","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.824045680150962
"Dorsal","Alydid2 sp1","non-mimic","Specimen",446,"2017-03-24 05:02:44 UTC","2017-08-20 07:29:15 UTC",446,"Animalia","Arthropoda","Insecta","Hemiptera","Alydidae","Alydid2","Species","Alydid2 sp1","","",11.4,NA,0.754819708006986
"Dorsal","Alydid3 sp1","mimic","Specimen",444,"2017-03-24 05:50:24 UTC","2017-03-24 05:50:27 UTC",444,"Animalia","Arthropoda","Insecta","Hemiptera","Alydidae","Alydid3","Species","Alydid3 sp1","","",13.6,NA,0.812823845686557
"Dorsal","Amyciaea albomaculata","mimic","Specimen",398,"2017-02-02 12:28:49 UTC","2017-02-02 12:28:50 UTC",398,"Animalia","Arthropoda","Arachnida","Araneae","Thomisidae","Amyciaea","Species","Amyciaea albomaculata","(O.P.-Cambridge, 1874)","",4.86,NA,0.768231444371443
"Dorsal","Amyciaea sp1","mimic","Specimen",554,"2017-04-19 02:02:20 UTC","2017-04-19 02:02:21 UTC",554,"Animalia","Arthropoda","Arachnida","Araneae","Thomisidae","Amyciaea","Species","Amyciaea sp1","","",3.975,NA,0.782100702425223
"Dorsal","Apricia jovialis","mimic","Specimen",426,"2017-02-10 03:38:36 UTC","2017-02-10 03:38:38 UTC",426,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Apricia","Species","Apricia jovialis","(L. Koch, 1879)","Jovial jumper",6.2,NA,0.627130998956257
"Dorsal","Araneae10 sp1","non-mimic","Specimen",270,"2017-01-06 03:44:55 UTC","2017-01-06 03:44:56 UTC",270,"Animalia","Arthropoda","Arachnida","Araneae","","Araneae10","Species","Araneae10 sp1","","",10,NA,0.630922616871253
"Dorsal","Araneae11 sp1","non-mimic","Specimen",250,"2017-06-04 13:30:25 UTC","2017-06-04 13:30:37 UTC",250,"Animalia","Arthropoda","Arachnida","Araneae","","Araneae11","Species","Araneae11 sp1","","",3.2,NA,0.597765661428875
"Dorsal","Astia hariola","non-mimic","Specimen",560,"2017-04-15 01:05:30 UTC","2017-04-15 01:05:31 UTC",560,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Astia","Species","Astia hariola","(Koch, 1879)","Gypsy Jumper",5.15,NA,0.445278519770703
"Dorsal","Battalus byrneae","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.270178702303505
