"class","family","species","angle","mimicType","webUrl","antennalIllusion","background","right","wrong","accuracy","decisionTimeMean","decisionTimeSD"
"Insecta","Formicidae","Crematogaster sp1","Dorsal","ant","images/1262.jpg",FALSE,"Artificial",106,1,0.00934579439252336,2124.08411214953,1096.97265339313
"Insecta","Formicidae","Formicid1 sp1","Dorsal","ant","images/1290.jpg",FALSE,"Artificial",54,0,0,1802.98148148148,606.795308831904
"Insecta","Formicidae","Formicid1 sp1","Lateral","ant","images/1291.jpg",FALSE,"Artificial",51,0,0,1708.76470588235,429.646486695064
"Insecta","Formicidae","Formicid1 sp1","Dorsal","ant","images/1294.jpg",FALSE,"Artificial",51,1,0.0192307692307692,1823.51923076923,742.328332049978
"Insecta","Formicidae","Rhytidoponera metallica","Dorsal","ant","images/149.jpg",FALSE,"Artificial",107,4,0.036036036036036,2137.23423423423,890.140713645933
"Arachnida","Gnaphosidae","Eilica sp1","Dorsal","non-mimic","images/1554.jpg",FALSE,"Artificial",49,0,0,1730.12244897959,578.358403610781
"Arachnida","Gnaphosidae","Eilica sp1","Lateral","non-mimic","images/1683.jpg",FALSE,"Artificial",51,0,0,1611.05882352941,363.191762668963
"Insecta","Rhyparochromidae","Daerlac nigricans","Dorsal","mimic","images/1773.jpg",FALSE,"Artificial",76,24,0.24,2343.2,897.239188631527
"Insecta","Chrysididae","Chrysidid1 sp1","Lateral","non-mimic","images/1827.jpg",FALSE,"Artificial",115,2,0.0170940170940171,2094.47863247863,771.329970964735
"Insecta","Chrysididae","Chrysidid1 sp1","Dorsal","non-mimic","images/1828.jpg",FALSE,"Artificial",109,2,0.018018018018018,1959.27927927928,763.432025564593
"Insecta","Formicidae","Formicid10 sp1","Dorsal","ant","images/1886.jpg",FALSE,"Artificial",36,0,0,1739.13888888889,828.647129888842
"Insecta","Formicidae","Formicid10 sp1","Lateral","ant","images/1888.jpg",FALSE,"Artificial",47,1,0.0208333333333333,1699.39583333333,487.856176032351
"Insecta","Formicidae","Formicid10 sp1","Anterior","ant","images/1890.jpg",FALSE,"Artificial",37,0,0,1689.91891891892,571.818074137142
"Insecta","Reduviidae","Reduviid2 sp1","Dorsal","non-mimic","images/1951.jpg",FALSE,"Artificial",108,2,0.0181818181818182,2277.97272727273,1150.30365722992
"Insecta","Coleoptera","Coleoptera2 sp1","Lateral","non-mimic","images/2125.jpg",FALSE,"Artificial",49,1,0.02,2092.92,686.656044961109
"Insecta","Formicidae","Camponotus nigriceps","Dorsal","ant","images/246.jpg",FALSE,"Artificial",33,8,0.195121951219512,2593.46341463415,1265.50091065872
"Arachnida","Lamponidae","Lamponid2 sp1","Lateral","non-mimic","images/2462.jpg",FALSE,"Artificial",100,3,0.029126213592233,2163.59223300971,1022.84353198301
"Arachnida","Lamponidae","Lamponid2 sp1","Dorsal","non-mimic","images/2465.jpg",FALSE,"Artificial",106,0,0,2018.01886792453,753.926875084013
"Arachnida","Salticidae","Myrmarachne bicolor","Lateral","mimic","images/2609.jpg",FALSE,"Artificial",32,42,0.567567567567568,2670.93243243243,1224.04375124467
"Arachnida","Salticidae","Ligonipes semitectus","Dorsal","mimic","images/2626.jpg",FALSE,"Artificial",52,16,0.235294117647059,2354.17647058824,939.420859084404
"Arachnida","Salticidae","Judalana lutea","Dorsal","mimic","images/2647.jpg",FALSE,"Artificial",45,11,0.196428571428571,2444.10714285714,1060.98776753417
"Arachnida","Salticidae","Judalana lutea","Anterior","mimic","images/2651.jpg",FALSE,"Artificial",56,23,0.291139240506329,2299.78481012658,822.184436712006
"Arachnida","Salticidae","Zenodorus metallescens","Dorsal","non-mimic","images/2712.jpg",FALSE,"Artificial",118,0,0,1846.18644067797,615.829160308578
"Arachnida","Salticidae","Ligonipes semitectus","Lateral","mimic","images/2751.jpg",FALSE,"Artificial",45,31,0.407894736842105,2464.01315789474,1258.49508533985
"Arachnida","Salticidae","Ligonipes semitectus","Anterior","mimic","images/2806.jpg",FALSE,"Artificial",94,22,0.189655172413793,2476.28448275862,1118.353493202
"Insecta","Reduviidae","Reduviid3 sp1","Dorsal","non-mimic","images/2962.jpg",FALSE,"Artificial",106,15,0.12396694214876,2290.39669421488,808.372856209093
"Insecta","Formicidae","Formicid14 sp1","Dorsal","ant","images/3014.jpg",FALSE,"Artificial",101,2,0.0194174757281553,2291.18446601942,1101.80456033187
"Insecta","Formicidae","Formicid14 sp1","Lateral","ant","images/3015.jpg",FALSE,"Artificial",109,3,0.0267857142857143,2324.78571428571,1013.86916038938
"Arachnida","Salticidae","Myrmarachne macleayana","Dorsal","mimic","images/3109.jpg",FALSE,"Artificial",56,17,0.232876712328767,2457.02739726027,1165.57977910617
"Arachnida","Salticidae","Myrmarachne macleayana","Lateral","mimic","images/3112.jpg",FALSE,"Artificial",37,43,0.5375,2461.2875,970.537254239676
"Arachnida","Salticidae","Judalana lutea","Lateral","mimic","images/3199.jpg",FALSE,"Artificial",60,12,0.166666666666667,2341.52777777778,993.74398001149
"Arachnida","Salticidae","Myrmarachne luctuosa","Dorsal","mimic","images/3243.jpg",FALSE,"Artificial",105,10,0.0869565217391304,2085.12173913043,810.851048988698
"Insecta","Coleoptera","Coleoptera2 sp1","Dorsal","non-mimic","images/334.jpg",FALSE,"Artificial",35,6,0.146341463414634,2129.0487804878,714.093829661744
"Arachnida","Lamponidae","Lamponid4 sp1","Dorsal","non-mimic","images/3451.jpg",FALSE,"Artificial",125,0,0,1818.072,545.561491995529
"Insecta","Formicidae","Crematogaster sp1","Lateral","ant","images/3849.jpg",FALSE,"Artificial",117,2,0.0168067226890756,1991.12605042017,857.002378758064
"Insecta","Formicidae","Camponotus sp3","Dorsal","ant","images/3857.jpg",FALSE,"Artificial",101,0,0,2002.50495049505,790.642670537865
"Insecta","Formicidae","Camponotus sp3","Anterior","ant","images/3858.jpg",FALSE,"Artificial",109,3,0.0267857142857143,2310.42857142857,1128.92910041814
"Insecta","Formicidae","Camponotus sp3","Lateral","ant","images/3859.jpg",FALSE,"Artificial",111,0,0,2064.55855855856,901.177539613232
"Arachnida","Salticidae","Myrmarachne sp1","Lateral","mimic","images/3973.jpg",FALSE,"Artificial",48,54,0.529411764705882,2322.47058823529,1157.67814492854
"Arachnida","Salticidae","Myrmarachne striatipes","Anterior","mimic","images/3976.jpg",FALSE,"Artificial",69,35,0.336538461538462,2356.19230769231,938.263786753217
"Arachnida","Salticidae","Myrmarachne smaragdina","Dorsal","mimic","images/4013.jpg",FALSE,"Artificial",47,28,0.373333333333333,2652.86666666667,1178.73371512449
"Arachnida","Salticidae","Myrmarachne smaragdina","Lateral","mimic","images/4017.jpg",FALSE,"Artificial",35,51,0.593023255813954,2982.04651162791,1837.54655423684
"Arachnida","Salticidae","Myrmarachne smaragdina","Dorsal","mimic","images/4029.jpg",FALSE,"Artificial",32,32,0.5,2498.65625,1090.48025270869
"Arachnida","Salticidae","Myrmarachne smaragdina","Lateral","mimic","images/4030.jpg",FALSE,"Artificial",6,41,0.872340425531915,2454.70212765957,1376.07142311623
"Insecta","Formicidae","Formicid22 sp1","Dorsal","ant","images/4083.jpg",FALSE,"Artificial",57,1,0.0172413793103448,1965.08620689655,905.516723367184
"Insecta","Formicidae","Formicid22 sp1","Lateral","ant","images/4085.jpg",FALSE,"Artificial",39,1,0.025,1793.4,670.50458611407
"Arachnida","Salticidae","Myrmarachne helensmithae","Lateral","mimic","images/4199.jpg",FALSE,"Artificial",19,55,0.743243243243243,2122.95945945946,1033.784342514
"Insecta","Formicidae","Opisthopsis sp2","Anterior","ant","images/4201.jpg",FALSE,"Artificial",115,3,0.0254237288135593,2172.99152542373,849.170027126666
"Arachnida","Salticidae","Myrmarachne macleayana","Dorsal","mimic","images/4230.jpg",FALSE,"Artificial",31,40,0.563380281690141,2264.53521126761,1069.7472976761
"Insecta","Formicidae","Formicid28 sp1","Dorsal","ant","images/4499.jpg",FALSE,"Artificial",39,4,0.0930232558139535,2056.76744186047,737.699765913623
"Insecta","Formicidae","Formicid28 sp1","Lateral","ant","images/4502.jpg",FALSE,"Artificial",42,3,0.0666666666666667,2174.15555555556,733.727220664079
"Insecta","Formicidae","Polyrhachis sp14","Lateral","ant","images/4512.jpg",FALSE,"Artificial",118,4,0.0327868852459016,2150.93442622951,914.127247030586
"Insecta","Formicidae","Formicid29 sp1","Dorsal","ant","images/4522.jpg",FALSE,"Artificial",42,0,0,1899.2619047619,700.903217268098
"Insecta","Formicidae","Formicid28 sp1","Lateral","ant","images/4525.jpg",FALSE,"Artificial",44,0,0,1832.72727272727,668.541117819723
"Arachnida","Thomisidae","Amyciaea albomaculata","Anterior","mimic","images/4592.jpg",FALSE,"Artificial",97,10,0.0934579439252336,2384.85981308411,1108.24635780867
"Arachnida","Salticidae","Myrmarachne helensmithae","Dorsal","mimic","images/4755.jpg",FALSE,"Artificial",48,22,0.314285714285714,2398.08571428571,1299.62240606404
