"class","family","species","angle","mimicType","right","wrong","numPhotos","accuracy"
"Arachnida","Corinnidae","Aetius nocturnus","Dorsal","mimic",45,5,1,0.1
"Arachnida","Corinnidae","Battalus byrneae","Anterior","non-mimic",69,2,1,0.028169014084507
"Arachnida","Corinnidae","Castineira cingulata","Anterior","non-mimic",65,0,1,0
"Arachnida","Corinnidae","Castineira cingulata","Dorsal","mimic",66,2,1,0.0294117647058824
"Arachnida","Corinnidae","Copa kabana","Dorsal","non-mimic",75,0,1,0
"Arachnida","Corinnidae","Corrinnomma sp.","Anterior","mimic",54,8,1,0.129032258064516
"Arachnida","Corinnidae","Corrinnomma sp.","Dorsal","mimic",54,2,1,0.0357142857142857
"Arachnida","Corinnidae","Corrinnomma sp.","Lateral","mimic",53,20,1,0.273972602739726
"Arachnida","Corinnidae","Disnyssus judidenchae","Dorsal","non-mimic",71,1,1,0.0138888888888889
"Arachnida","Corinnidae","Iridonyssus formicans","Dorsal","non-mimic",77,0,1,0
"Arachnida","Corinnidae","Iridonyssus kohouti","Dorsal","mimic",64,5,1,0.072463768115942
"Arachnida","Corinnidae","Leichhardteus albofasciatus","Dorsal","non-mimic",54,0,1,0
"Arachnida","Corinnidae","Leichhardteus albofasciatus","Posterior","non-mimic",61,0,1,0
"Arachnida","Corinnidae","Leichhardteus conopalpis","Dorsal","non-mimic",76,2,1,0.0256410256410256
"Arachnida","Corinnidae","Myrmecotypus rettenmeyeri","Anterior","mimic",32,30,1,0.483870967741935
"Arachnida","Corinnidae","Nyssus albopunctatus","Dorsal","non-mimic",70,0,1,0
"Arachnida","Corinnidae","Nyssus avidus","Dorsal","non-mimic",65,1,1,0.0151515151515152
"Arachnida","Corinnidae","Nyssus coloripes","Dorsal","non-mimic",74,0,1,0
"Arachnida","Corinnidae","Nyssus coloripes","Lateral","mimic",69,2,1,0.028169014084507
"Arachnida","Corinnidae","Nyssus luteofinis","Lateral","mimic",116,14,2,0.107692307692308
"Arachnida","Corinnidae","Nyssus paradoxus","Anterior","non-mimic",64,3,1,0.0447761194029851
"Arachnida","Corinnidae","Nyssus paradoxus","Dorsal","non-mimic",76,0,1,0
"Arachnida","Corinnidae","Nyssus supunnoides","Dorsal","non-mimic",63,1,1,0.015625
"Arachnida","Corinnidae","Poecilipta sp1","Dorsal","mimic",109,9,1,0.076271186440678
"Arachnida","Corinnidae","Sphecotypus niger","Anterior","mimic",24,36,1,0.6
"Arachnida","Corinnidae","Sphecotypus niger","Dorsal","mimic",37,30,1,0.447761194029851
"Arachnida","Gnaphosidae","Eilica sp1","Dorsal","non-mimic",49,0,1,0
"Arachnida","Gnaphosidae","Eilica sp1","Lateral","non-mimic",51,0,1,0
"Arachnida","Lamponidae","Lamponid2 sp1","Dorsal","non-mimic",106,0,1,0
"Arachnida","Lamponidae","Lamponid2 sp1","Lateral","non-mimic",100,3,1,0.029126213592233
"Arachnida","Lamponidae","Lamponid4 sp1","Dorsal","non-mimic",125,0,1,0
"Arachnida","Salticidae","Abracadabrella elegans","Dorsal","non-mimic",74,0,1,0
"Arachnida","Salticidae","Abracadabrella elegans","Lateral","non-mimic",81,0,1,0
"Arachnida","Salticidae","Abracadabrella elegans","Posterior","non-mimic",71,3,1,0.0405405405405405
"Arachnida","Salticidae","Cosmophasis bitaeniata","Anterior","mimic",49,3,1,0.0576923076923077
"Arachnida","Salticidae","Cosmophasis bitaeniata","Dorsal","mimic",44,2,1,0.0434782608695652
"Arachnida","Salticidae","Cosmophasis bitaeniata","Lateral","mimic",48,6,1,0.111111111111111
"Arachnida","Salticidae","Damoetas nitidus","Dorsal","mimic",59,7,1,0.106060606060606
"Arachnida","Salticidae","Damoetas nitidus","Lateral","mimic",76,3,1,0.0379746835443038
"Arachnida","Salticidae","Helpis minitabunda","Dorsal","non-mimic",64,0,1,0
"Arachnida","Salticidae","Judalana lutea","Anterior","mimic",56,23,1,0.291139240506329
"Arachnida","Salticidae","Judalana lutea","Dorsal","mimic",45,11,1,0.196428571428571
"Arachnida","Salticidae","Judalana lutea","Lateral","mimic",60,12,1,0.166666666666667
"Arachnida","Salticidae","Ligonipes lacertosus","Dorsal","mimic",56,8,1,0.125
"Arachnida","Salticidae","Ligonipes lacertosus","Lateral","mimic",83,53,2,0.389705882352941
"Arachnida","Salticidae","Ligonipes semitectus","Anterior","mimic",94,22,1,0.189655172413793
