"Unique.I.D.","Family","Genus","Species","Leg.III.Femur..width","Leg.III.Femur..length","Prosoma..length","Opisthosoma..width","Opisthosoma.height","Opisthosoma..length","Pedicel..length","Body.length","Prosoma.height","Improved.colour.score","Constriction.height","Constriction.width","Constriction.height.1","Constriction.width.1","mimicType","species","accuracy"
"MCZ16734","Corinnidae","Aetius","nocturnus",0.200913242009132,0.926940639269406,1.68949771689498,0.817351598173516,0.525114155251142,1.69406392694064,0.10958904109589,3.49771689497717,0.484018264840183,0.33,0.342465753424658,0,0.502283105022831,0.666666666666667,"mimic","Aetius nocturnus",0.608085924947274
"Q00002","Corinnidae","Battalus","byrneae",0.254237288135593,1.02966101694915,1.46610169491525,1.54237288135593,1.26694915254237,2.14830508474576,0,3.60169491525424,0.444915254237288,0,0,0,0,0,"mimic","Battalus byrneae",0.272081995810842
"MCZ136939","Corinnidae","Castianeira","cingulata",0.229885057471264,0.770114942528736,1.66091954022989,0.959770114942529,0.85632183908046,1.67816091954023,0,3.53448275862069,0.522988505747126,0.33,0,0,0,0,"mimic","Castianeira cingulata",0.490250888976701
"MCZ137106","Corinnidae","Castianeira","gertschi",0.26,0.78,1.485,1.3,0.84,1.66,0,3.315,0.39,0.33,0,0,0,0,"mimic","Castianeira gertschi",0.477901128325658
"MCZ126957","Corinnidae","Castianeira","longipalpa",0.241830065359477,0.620915032679739,1.61437908496732,1.35294117647059,1.23529411764706,2.34640522875817,0,4.10457516339869,0.379084967320261,0.33,0,0,0,0,"mimic","Castianeira longipalpa",0.539830817862389
"MCZ142573","Corinnidae","Castianeira","trilineata",0.212903225806452,0.819354838709677,1.66451612903226,1.29032258064516,0.774193548387097,2.04516129032258,0,3.83225806451613,0.438709677419355,0.33,0,0,0.754838709677419,0,"mimic","Castianeira trilineata",0.529715419990335
"Q00013","Corinnidae","Copa","kabana",0.192156862745098,0.670588235294118,1.34901960784314,0.63921568627451,0.427450980392157,1.18823529411765,0,2.54901960784314,0.337254901960784,0,0,0,0,0,"mimic","Copa kabana",0.287411210541994
"MCZ95991","Corinnidae","Corinnomma","sp.",0.231111111111111,0.982222222222222,2.06666666666667,NA,0.551111111111111,NA,0,4.92444444444444,0.577777777777778,0,0,0,0.524444444444444,NA,"mimic","Corinnomma sp.",0.115764566384508
"Q87362","Corinnidae","Creugas","gulosus",0.214788732394366,0.97887323943662,1.30985915492958,1.13028169014085,NA,1.64788732394366,0,2.95774647887324,NA,0,0,0,NA,0,"mimic","Creugas gulosus",0.213315493537891
"Q80326","Corinnidae","Disnyssus","helenmirrenae",NA,NA,1.28571428571429,0.897959183673469,NA,1.28571428571429,0,2.55102040816327,0.26530612244898,0,0,0,NA,0,"mimic","Disnyssus helenmirrenae",0.357403564471146
"Q84598","Corinnidae","Iridonyssus","formicans",0.196078431372549,0.666666666666667,1.30392156862745,0.990196078431373,0.686274509803921,1.22549019607843,0,2.58823529411765,0.42156862745098,0,0,0,0,0,"mimic","Iridonyssus formicans",0.326224408503713
"Q84637","Corinnidae","Iridonyssus","kohouti",0.207920792079208,0.603960396039604,1.31683168316832,1.3960396039604,0.900990099009901,2.22772277227723,0.247524752475248,4.57425742574257,0.623762376237624,0,0,0,0.881188118811881,0,"mimic","Iridonyssus kohouti",0.252542840590973
"JMS109","Corinnidae","Iridonyssus","kohouti",0.224719101123596,0.685393258426966,1.32584269662921,1.02247191011236,0.955056179775281,1.66292134831461,0.168539325842697,3.15730337078652,0.662921348314607,0,0,0,0.943820224719101,0,"mimic","Iridonyssus kohouti",0.329645676875518
