"Family","Genus","species","mimicType","Leg.III.Femur..width","Leg.III.Femur..length","Prosoma..width","Prosoma..length","Opisthosoma..width","Opisthosoma..length","Pedicel..length","Body.length","Pedicel.length.body.length","Constriction.height","Prosoma.height","Constriction.width","Prosoma.width","Constriction.height.1","Opisthosoma.height","Constriction.width.1","Opisthosoma.width","Faux.petiole.length","Length.from.constriction.to.spinnerets","accuracy"
"Corinnidae","Aetius","Aetius nocturnus","mimic",0.44,2.03,2.19,3.7,1.79,3.71,0.24,7.66,0.03,0.75,1.06,0,2.19,1.1,1.15,1.46,1.79,1.28928571428571,1.60642857142857,0.356370127678907
"Salticidae","Apricia","Apricia jovialis","mimic",0.28,0.88,1.5,2.17,1.45,2.51,0,4.749,0,0,0.59,0,1.5,0,0.81,0,1.45,1.28928571428571,1.60642857142857,0.856742620178981
"Salticidae","Astia","Astia hariola","mimic",0.47,1.72,1.82,2,1.51,2.78,0,5,0,0,0.95,0,1.82,0,1.15,0,1.51,1.28928571428571,1.60642857142857,0.861780418497639
"Corinnidae","Battalus","Battalus byrneae","mimic",0.6,2.43,2.36,3.46,3.64,5.07,0,8.5,0,0,1.05,0,2.36,0,2.99,0,3.64,1.28928571428571,1.60642857142857,0.691265122308907
"Corinnidae","Castianeira","Castianeira cingulata","mimic",0.4,1.34,1.74,2.89,1.67,2.92,0,6.15,0,0,0.91,0,1.74,0,1.49,0,1.67,1.28928571428571,1.60642857142857,0.893048879671748
"Corinnidae","Castianeira","Castianeira gertschi","mimic",0.52,1.56,2,2.97,2.6,3.32,0,6.63,0,0,0.78,0,2,0,1.68,0,2.6,1.28928571428571,1.60642857142857,0.719663347204053
"Corinnidae","Castianeira","Castianeira longipalpa","mimic",0.37,0.95,1.53,2.47,2.07,3.59,0,6.28,0,0,0.58,0,1.53,0,1.89,0,2.07,1.28928571428571,1.60642857142857,0.811460064706262
"Corinnidae","Castianeira","Castianeira trilineata","mimic",0.33,1.27,1.55,2.58,2,3.17,0,5.94,0,0,0.68,0,1.55,1.17,1.2,0,2,1.28928571428571,1.60642857142857,0.863071772358887
"Corinnidae","Copa","Copa kabana","mimic",0.49,1.71,2.55,3.44,1.63,3.03,0,6.5,0,0,0.86,0,2.55,0,1.09,0,1.63,1.28928571428571,1.60642857142857,0.861835406878225
"Corinnidae","Corinnomma","Corinnomma sp.","mimic",0.52,2.21,2.25,4.65,1.71725806451613,3.05870967741935,0,11.08,0,0,1.3,0,2.25,1.18,1.24,0.450161290322581,1.72322580645161,1.28928571428571,1.60642857142857,0.84343289926921
"Corinnidae","Creugas","Creugas gulosus","mimic",0.61,2.78,2.84,3.72,3.21,4.68,0,8.4,0,0,0.959431034482759,0,2.84,0.525728813559322,1.25644642857143,0,3.21,1.28928571428571,1.60642857142857,0.713832016164619
"Salticidae","Damoetas","Damoetas nitidus","mimic",0.16,0.61,0.78,1.37,0.79,1.7,0.13,3.18,0.04,0,0.67,0,0.78,0.7,0.72,0,0.79,1.28928571428571,1.60642857142857,0.79701936767326
"Corinnidae","Disnyssus","Disnyssus helenmirrenae","mimic",0.353770491803279,1.33590163934426,1.96,2.52,1.76,2.52,0,5,0,0,0.52,0,1.96,0.525728813559322,1.25644642857143,0,1.76,1.28928571428571,1.60642857142857,0.877915269701736
"Salticidae","Helpis","Helpis minitabunda","mimic",0.42,2.1,2.07,3.18,1.55,3.74,0,7.11,0,0,1.32,0,2.07,0,1.09,0,1.55,1.28928571428571,1.60642857142857,0.84343289926921
