"species","accuracy","n","Family","Genus","Species","Leg.III.Femur..width","Leg.III.Femur..length","Leg.III.Femur..ratio..width.length.","X1...Leg.III.Femur.ratio","Prosoma..width","Prosoma..length","Prosoma..ratio..width.length.","X1...Prosoma.ratio","Opisthosoma..width","Opisthosoma..length","Opisthosoma..ratio..width.length.","X1...Opisthosoma.ratio","Pedicel..length","Body.length","Pedicel.length.body.length","Constriction.height","Prosoma.height","Constriction.height.Prosoma.height..ratio","X1...Constriction.height.Prosoma.height..ratio","Constriction.width","Prosoma.width","Constriction.width.Prosoma.width..ratio","X1...Constriction.width.Prosoma.width..ratio","Constriction.height.1","Opisthosoma.height","Constriction.height.Opisthosoma.height..ratio","X1...Constriction.height.Opisthosoma.height..ratio","Constriction.width.1","Opisthosoma.width","Constriction.width.Opisthosoma.width..ratio","X1...Constriction.width.Opisthosoma.width..ratio","Mimic.Accuracy","Faux.petiole.length","Length.from.constriction.to.spinnerets"
"Leichhardteus albofasciatus",0.15,1,"Corinnidae","Leichhardteus","albofasciatus",0.58,1.66,0.35,0.65,2.35,3.19,0.74,0.26,1.8,2.88,0.63,0.37,0.31,6.61,0.05,0,1.15,NA,0,0,2.35,NA,0,0,0.95,NA,0,0,1.8,NA,0,0.15,NA,NA
"Nysuss albopunctatus",0.14,1,"Corinnidae","Nysuss","albopunctatus",0.72,2.26,0.32,0.68,2.81,3.81,0.74,0.26,4.25,5.87,0.72,0.28,0,9.57,0,0,1.49,NA,0,0,2.81,NA,0,0,1.83,NA,0,0,4.25,NA,0,0.14,NA,NA
"Nyssus avidus",0.12,1,"Corinnidae","Nyssus","avidus",0.77,2.24,0.34,0.66,2.71,3.64,0.74,0.26,3.06,3.82,0.8,0.2,0,7.7,0,0,NA,NA,0,0,2.71,NA,0,0,NA,NA,0,0,3.06,NA,0,0.12,NA,NA
"Myrmarachne bicolor",0.32,2,"Salticidae","Myrmarachne","bicolor",0.225,0.94,0.24,0.76,1.09,2.44,0.445,0.555,1.28,2.75,0.465,0.535,0.25,5.45,0.05,0.918,1.113,0.825,0.175,1.005,1.1,0.925,0.075,0.91,1.115,0.815,0.185,1.04,1.28,0.815,0.185,0.32,1.195,1.99
"Leptopicia bimaculata",0.17,1,"Corinnidae","Leptopicia","bimaculata",0.31,1.12,0.28,0.72,1.75,2.42,0.72,0.28,1.23,2.17,0.57,0.43,0.34,4.8,0.07,0,0.79,NA,0,0,1.75,NA,0,NA,NA,NA,NA,0,1.23,NA,0,0.17,NA,NA
"Battalus byrneae",0.15,1,"Corinnidae","Battalus","byrneae",0.6,2.43,0.25,0.75,2.36,3.46,0.68,0.32,3.64,5.07,0.72,0.28,0,8.5,0,0,1.05,NA,0,0,2.36,NA,0,0,2.99,NA,0,0,3.64,NA,0,0.15,NA,NA
"Myrmapana centralis",0.33,1,"Salticidae","Myrmapana","centralis",0.15,0.64,0.23,0.77,1.01,1.91,0.53,0.47,0.99,1.85,0.54,0.46,0.08,3.86,0.02,0.67,0.75,0.9,0.1,0.85,1.01,0.84,0.16,0.52,0.61,0.86,0.14,0.81,0.99,0.82,0.18,0.33,0.79,1.12
"Myrmapeni chickeringi",0.29,1,"Salticidae","Myrmapeni","chickeringi",0.2,0.68,0.29,0.71,0.7,1.13,0.62,0.38,0.71,1.44,0.49,0.51,0.13,2.71,0.05,0.45,0.49,0.92,0.08,0,0.7,NA,0,0.45,0.47,0.95,0.05,0.57,0.71,0.81,0.19,0.29,NA,NA
"Castianeira cingulata",0.21,1,"Corinnidae","Castianeira","cingulata",0.4,1.34,0.3,0.7,1.74,2.89,0.6,0.4,1.67,2.92,0.57,0.43,0,6.15,0,0,0.91,NA,0,0,1.74,NA,0,0,1.49,NA,0,0,1.67,NA,0,0.21,NA,NA
"Nysuss coloripes",0.13,2,"Corinnidae","Nysuss","coloripes",0.46,1.325,0.345,0.655,1.875,2.4,0.785,0.215,2.44,3.505,0.695,0.305,0,6.005,0,0,1.11,0,0,0,1.875,NA,0,0,1.755,NA,0,0,2.455,NA,0,0.13,NA,NA
"Leichhardteus conopalpis",0.16,1,"Corinnidae","Leichhardteus","conopalpis",0.49,1.32,0.37,0.63,2.94,4.19,0.7,0.3,2.29,4.54,0.5,0.5,0,8.76,0,0,1.01,NA,0,0,2.94,NA,0,0,1.1,NA,0,0,2.29,NA,0,0.16,NA,NA
"Myrmarachne erythrocephala",0.31,2,"Salticidae","Myrmarachne","erythrocephala",0.285,0.97,0.29,0.71,1.115,2.265,0.49,0.51,1.565,2.765,0.565,0.435,0.255,5.295,0.045,0.97,1.09,0.885,0.115,1.045,1.14,0.94,0.06,1.17,1.21,0.965,0.035,1.29,1.565,0.825,0.175,0.31,NA,NA
"Iridonyssus formicans",0.12,1,"Corinnidae","Iridonyssus","formicans",0.2,0.68,0.3,0.7,1.02,1.33,0.77,0.23,1.01,1.25,0.8,0.2,0,2.64,0,0,0.43,NA,0,0,1.02,NA,0,0,0.7,NA,0,0,1.01,NA,0,0.12,NA,NA
"Myrmarachne formicaria",0.25,1,"Salticidae","Myrmarachne","formicaria",0.24,1.03,0.24,0.76,1.65,3.46,0.48,0.52,1.44,2.98,0.48,0.52,0.34,7.16,0.05,0.89,0.93,0.95,0.05,0,1.65,NA,0,1.21,1.26,0.96,0.04,0,1.44,NA,0,0.25,NA,NA
"Castianeira gertschi",0.17,1,"Corinnidae","Castianeira","gertschi",0.52,1.56,0.34,0.66,2,2.97,0.67,0.33,2.6,3.32,0.78,0.22,0,6.63,0,0,0.78,NA,0,0,2,NA,0,0,1.68,NA,0,0,2.6,NA,0,0.17,NA,NA
"Paradiestus gigantea",0.15,1,"Corinnidae","Paradiestus","gigantea",1.51,5.98,0.25,0.75,6.41,7.78,0.82,0.18,6.22,11.16,0.56,0.44,0,18.99,0,0,3.04,NA,0,0,6.41,NA,0,0,6.19,NA,0,0,6.22,NA,0,0.15,NA,NA
"Poecilipta gloverae",0.23,1,"Corinnidae","Poecilipta","gloverae",0.24,0.77,0.3,0.7,1.6,3,0.53,0.47,1.48,2.97,0.5,0.5,0.17,6.19,0.03,0,0.57,NA,0,0,1.6,NA,0,0,0.83,NA,0,1.37,1.48,0.93,0.07,0.23,NA,NA
"Rhombonotus gracilis",0.31,1,"Salticidae","Rhombonotus","gracilis",0.09,0.38,0.25,0.75,0.61,0.99,0.62,0.38,0.72,1.23,0.58,0.42,0.1,2.29,0.04,0.41,0.49,0.84,0.16,0.59,0.61,0.96,0.04,0.44,0.51,0.86,0.14,0.59,0.72,0.83,0.17,0.31,0.52,0.93
"Creugas gulosus",0.15,1,"Corinnidae","Creugas","gulosus",0.61,2.78,0.22,0.78,2.84,3.72,0.76,0.24,3.21,4.68,0.69,0.31,0,8.4,0,0,NA,NA,0,0,2.84,NA,0,NA,NA,NA,NA,0,3.21,NA,0,0.15,NA,NA
"Astia hariola",0.14,1,"Salticidae","Astia","hariola",0.47,1.72,0.27,0.73,1.82,2,0.91,0.09,1.51,2.78,0.54,0.46,0,5,0,0,0.95,NA,0,0,1.82,NA,0,0,1.15,NA,0,0,1.51,NA,0,0.14,NA,NA
"Disnyssus helenmirrenae",0.06,1,"Corinnidae","Disnyssus","helenmirrenae",NA,NA,NA,NA,1.96,2.52,0.78,0.22,1.76,2.52,0.7,0.3,0,5,0,0,0.52,NA,0,0,1.96,NA,0,NA,NA,NA,NA,0,1.76,NA,0,0.06,NA,NA
"Myrmarachne helensmithae",0.32,1,"Salticidae","Myrmarachne","helensmithae",0.21,0.86,0.24,0.76,1.65,3.09,0.53,0.47,1.02,2.87,0.36,0.64,0.32,6.27,0.05,1.08,1.33,0.81,0.19,1.27,1.65,0.77,0.23,0.76,0.84,0.91,0.09,0.91,1.02,0.89,0.11,0.32,NA,NA
"Apricia jovialis",0.16,1,"Salticidae","Apricia","jovialis",0.28,0.88,0.32,0.68,1.5,2.17,0.69,0.31,1.45,2.51,0.58,0.42,0,4.749,0,0,0.59,NA,0,0,1.5,NA,0,0,0.81,NA,0,0,1.45,NA,0,0.16,NA,NA
